ventas(miles €),ESPAÑA,CATALUÑA,ARAGÓN,ILLES BALEARS,COMUNITAT VALENCIANA,REGIÓN DE MURCIA,ANDALUCÍA,COMUNIDAD DE MADRID,CASTILLA - LA MANCHA,EXTREMADURA,CASTILLA Y LEÓN,GALICIA,PRINCIPADO DE ASTURIAS,CANTABRIA,PAIS VASCO,LA RIOJA,C. FORAL DE NAVARRA,CANARIAS
LOMO EMBUCHADO N+IB,230017.004,27104.3306,6567.2837500000005,3608.81066,22182.003,9780.736300000002,39104.4322,47814.54149999999,13460.5055,7367.14913,14351.147,12229.372,5595.18383,1589.596657,11983.2286,828.66657,1553.5059740000002,4896.49637
LOMO EMB.AL CORTE,81549.087,9866.9487,2332.66415,425.29455999999993,9516.5992,4623.5533,11989.533200000002,17941.737500000003,5265.413300000001,1414.1645300000005,4626.062099999999,3729.3741,2255.6474299999995,280.937077,4527.238600000001,363.93983,341.12989400000004,2048.84227
LOMO EMB.ENVASADO,148467.91700000002,17237.3819,4234.6196,3183.5161000000003,12665.403800000002,5157.183,27114.899,29872.804,8195.0922,5952.9846,9725.0849,8499.997899999998,3339.5364,1308.65958,7455.99,464.72674,1212.37608,2847.6541
LOMO EMB.NORMAL,132920.25100000002,15571.738,4228.8305,1604.5823799999998,15333.9538,5977.3599,23227.625,19141.012,9248.3011,4337.6586,10599.4521,8000.5004,4036.3692,1045.66171,5643.0002,733.1884400000001,1112.58882,3078.4273
LOMO E.N.AL CORTE,40141.628,3991.287100000001,1110.917545,129.109568,5518.7009,2225.09047,6232.1847,5691.764400000001,2948.3378600000005,658.07962,3423.0838000000003,2783.3687,1707.07009,144.084553,1917.48423,301.694252,321.700459,1037.66672
LOMO E.N.ENVASADO,92778.62,11580.4502,3117.913,1475.4726699999997,9815.2518,3752.2696,16995.440000000002,13449.245,6299.9635,3679.579,7176.3687,5217.131399999999,2329.2989,901.57707,3725.5159,431.4942,790.88834,2040.76047
LOMO EMB.IBERICO,97096.742,11532.5937,2338.45332,2004.2283100000004,6848.0504,3803.376150000001,15876.807899999998,28673.5301,4212.204600000001,3029.4913,3751.6952,4228.87166,1558.8147,543.934996,6340.2279,95.478139,440.917259,1818.06915
LOMO E.I.AL CORTE,41407.457,5875.661700000001,1221.74683,296.184985,3997.8982,2398.46284,5757.3487000000005,12249.9728,2317.0753000000004,756.08506,1202.978367,946.0052700000002,548.57729,136.852509,2609.7544190000003,62.24558,19.429429,1011.17556
LOMO E.I.ENVASADO,55689.28999999999,5656.9310000000005,1116.7065,1708.04347,2850.1519,1404.913433,10119.4611,16423.5566,1895.129202,2273.40599,2548.71697,3282.8661250000005,1010.237451,407.082495,3730.4737,33.232559,421.48783,806.89365
OTRAS SALAZONES,108129.9,17023.211000000003,3753.0,2755.6674700000003,12331.3674,2245.7429,14077.007,14965.5116,8251.819,2917.8195100000003,7918.952299999999,8175.160999999999,2762.9636159999995,1531.53234,4515.65849,729.029386,1602.25842,2573.1941
